name,brand,category,subcategory,full_description,rating,base_price,currency,discount_percentage
Apple Smartphone Series 110,Apple,Electronics,Smartphones,"Apple Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,11484,INR,15
Dell Laptop Series 250,Dell,Electronics,Laptops,"Dell Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,112488,INR,15
Sony Headphone Series 397,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,21326,INR,20
Samsung Smartwatche Series 652,Samsung,Electronics,Smartwatches,"Samsung Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,28281,INR,20
Apple Tablet Series 845,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,12556,INR,25
Realme Smartphone Series 434,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,53473,INR,15
ASUS Laptop Series 216,ASUS,Electronics,Laptops,"ASUS Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,45945,INR,15
Sony Headphone Series 482,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,11033,INR,5
Noise Smartwatche Series 121,Noise,Electronics,Smartwatches,"Noise Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,39981,INR,5
Samsung Tablet Series 168,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,64807,INR,10
Xiaomi Smartphone Series 597,Xiaomi,Electronics,Smartphones,"Xiaomi Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,81142,INR,10
HP Laptop Series 320,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,84497,INR,5
Sony Headphone Series 409,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,12760,INR,25
Samsung Smartwatche Series 719,Samsung,Electronics,Smartwatches,"Samsung Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,4620,INR,10
Lenovo Tablet Series 260,Lenovo,Electronics,Tablets,"Lenovo Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,53358,INR,25
Apple Smartphone Series 644,Apple,Electronics,Smartphones,"Apple Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,80929,INR,15
HP Laptop Series 368,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,65365,INR,20
Sony Headphone Series 277,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,12594,INR,15
Apple Smartwatche Series 792,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,31035,INR,5
Lenovo Tablet Series 361,Lenovo,Electronics,Tablets,"Lenovo Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,18113,INR,20
OnePlus Smartphone Series 649,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,89585,INR,10
Lenovo Laptop Series 307,Lenovo,Electronics,Laptops,"Lenovo Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,59911,INR,20
JBL Headphone Series 429,JBL,Electronics,Headphones,"JBL Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,22087,INR,5
Apple Smartwatche Series 335,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,36681,INR,5
Lenovo Tablet Series 640,Lenovo,Electronics,Tablets,"Lenovo Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,46431,INR,5
Realme Smartphone Series 863,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,17347,INR,15
HP Laptop Series 863,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,36133,INR,20
Boat Headphone Series 237,Boat,Electronics,Headphones,"Boat Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,16018,INR,20
Amazfit Smartwatche Series 751,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,8290,INR,15
Apple Tablet Series 822,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,23542,INR,5
Realme Smartphone Series 205,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,20634,INR,5
Acer Laptop Series 309,Acer,Electronics,Laptops,"Acer Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,36664,INR,10
Sony Headphone Series 445,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,17208,INR,10
Samsung Smartwatche Series 767,Samsung,Electronics,Smartwatches,"Samsung Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,20641,INR,5
Samsung Tablet Series 592,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,33277,INR,10
Realme Smartphone Series 282,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,27000,INR,15
HP Laptop Series 815,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,52337,INR,10
Boat Headphone Series 529,Boat,Electronics,Headphones,"Boat Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,22918,INR,10
Amazfit Smartwatche Series 783,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,33759,INR,15
Apple Tablet Series 841,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,65724,INR,15
Realme Smartphone Series 164,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,63938,INR,20
HP Laptop Series 725,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,114333,INR,25
JBL Headphone Series 537,JBL,Electronics,Headphones,"JBL Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,20026,INR,15
Samsung Smartwatche Series 117,Samsung,Electronics,Smartwatches,"Samsung Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,9089,INR,5
Xiaomi Tablet Series 564,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,64584,INR,15
Realme Smartphone Series 807,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,85952,INR,5
ASUS Laptop Series 854,ASUS,Electronics,Laptops,"ASUS Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,52484,INR,20
Sony Headphone Series 486,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,17101,INR,5
Amazfit Smartwatche Series 245,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,18060,INR,5
Realme Tablet Series 110,Realme,Electronics,Tablets,"Realme Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,38080,INR,15
OnePlus Smartphone Series 572,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,89398,INR,20
Dell Laptop Series 562,Dell,Electronics,Laptops,"Dell Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,86338,INR,20
JBL Headphone Series 624,JBL,Electronics,Headphones,"JBL Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,1881,INR,10
Amazfit Smartwatche Series 771,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,10595,INR,15
Xiaomi Tablet Series 473,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,57973,INR,15
Samsung Smartphone Series 780,Samsung,Electronics,Smartphones,"Samsung Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,79964,INR,5
Acer Laptop Series 663,Acer,Electronics,Laptops,"Acer Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,83470,INR,15
JBL Headphone Series 728,JBL,Electronics,Headphones,"JBL Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,14415,INR,10
Apple Smartwatche Series 179,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,16068,INR,20
Apple Tablet Series 943,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,45716,INR,10
Realme Smartphone Series 327,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,23146,INR,20
Dell Laptop Series 875,Dell,Electronics,Laptops,"Dell Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,57157,INR,25
Boat Headphone Series 738,Boat,Electronics,Headphones,"Boat Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,23383,INR,5
Amazfit Smartwatche Series 899,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,31107,INR,10
Apple Tablet Series 337,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,57683,INR,10
OnePlus Smartphone Series 915,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,60898,INR,5
Dell Laptop Series 866,Dell,Electronics,Laptops,"Dell Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,67832,INR,20
Skullcandy Headphone Series 985,Skullcandy,Electronics,Headphones,"Skullcandy Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,23162,INR,20
Fire-Boltt Smartwatche Series 516,Fire-Boltt,Electronics,Smartwatches,"Fire-Boltt Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,13760,INR,5
Xiaomi Tablet Series 143,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,37188,INR,20
OnePlus Smartphone Series 999,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,53390,INR,25
ASUS Laptop Series 890,ASUS,Electronics,Laptops,"ASUS Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,82623,INR,15
Sony Headphone Series 925,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,1595,INR,25
Samsung Smartwatche Series 373,Samsung,Electronics,Smartwatches,"Samsung Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,11348,INR,10
Lenovo Tablet Series 752,Lenovo,Electronics,Tablets,"Lenovo Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,61421,INR,20
Samsung Smartphone Series 231,Samsung,Electronics,Smartphones,"Samsung Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,58168,INR,15
ASUS Laptop Series 284,ASUS,Electronics,Laptops,"ASUS Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,98542,INR,5
Sennheiser Headphone Series 803,Sennheiser,Electronics,Headphones,"Sennheiser Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,4658,INR,10
Apple Smartwatche Series 113,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,26260,INR,20
Samsung Tablet Series 648,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,60184,INR,20
OnePlus Smartphone Series 229,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,78317,INR,5
Lenovo Laptop Series 484,Lenovo,Electronics,Laptops,"Lenovo Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,64900,INR,20
Skullcandy Headphone Series 524,Skullcandy,Electronics,Headphones,"Skullcandy Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,10327,INR,20
Noise Smartwatche Series 199,Noise,Electronics,Smartwatches,"Noise Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,18413,INR,15
Xiaomi Tablet Series 258,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,67585,INR,25
OnePlus Smartphone Series 416,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,87979,INR,15
Dell Laptop Series 117,Dell,Electronics,Laptops,"Dell Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,83539,INR,5
Sennheiser Headphone Series 400,Sennheiser,Electronics,Headphones,"Sennheiser Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,8761,INR,5
Fire-Boltt Smartwatche Series 620,Fire-Boltt,Electronics,Smartwatches,"Fire-Boltt Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,4709,INR,10
Xiaomi Tablet Series 375,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,33787,INR,5
Realme Smartphone Series 206,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,41183,INR,10
Acer Laptop Series 313,Acer,Electronics,Laptops,"Acer Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,57057,INR,25
Sennheiser Headphone Series 306,Sennheiser,Electronics,Headphones,"Sennheiser Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,13874,INR,5
Samsung Smartwatche Series 732,Samsung,Electronics,Smartwatches,"Samsung Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,25840,INR,20
Xiaomi Tablet Series 720,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,43076,INR,5
Realme Smartphone Series 690,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,27346,INR,20
Acer Laptop Series 307,Acer,Electronics,Laptops,"Acer Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,90781,INR,10
Boat Headphone Series 947,Boat,Electronics,Headphones,"Boat Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,19033,INR,15
Apple Smartwatche Series 685,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,47225,INR,20
Realme Tablet Series 508,Realme,Electronics,Tablets,"Realme Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,48427,INR,10
Apple Smartphone Series 884,Apple,Electronics,Smartphones,"Apple Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,87312,INR,15
Acer Laptop Series 685,Acer,Electronics,Laptops,"Acer Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,63618,INR,5
JBL Headphone Series 773,JBL,Electronics,Headphones,"JBL Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,17756,INR,25
Fire-Boltt Smartwatche Series 573,Fire-Boltt,Electronics,Smartwatches,"Fire-Boltt Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,19492,INR,10
Samsung Tablet Series 749,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,67543,INR,20
OnePlus Smartphone Series 312,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,73444,INR,20
HP Laptop Series 945,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,104360,INR,20
Skullcandy Headphone Series 895,Skullcandy,Electronics,Headphones,"Skullcandy Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,10539,INR,10
Noise Smartwatche Series 141,Noise,Electronics,Smartwatches,"Noise Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,42320,INR,15
Xiaomi Tablet Series 211,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,51843,INR,10
Realme Smartphone Series 147,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,84857,INR,20
Lenovo Laptop Series 663,Lenovo,Electronics,Laptops,"Lenovo Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,119666,INR,20
Sennheiser Headphone Series 914,Sennheiser,Electronics,Headphones,"Sennheiser Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,10605,INR,15
Noise Smartwatche Series 510,Noise,Electronics,Smartwatches,"Noise Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,27272,INR,10
Apple Tablet Series 194,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,24886,INR,20
Apple Smartphone Series 597,Apple,Electronics,Smartphones,"Apple Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,63955,INR,5
Lenovo Laptop Series 703,Lenovo,Electronics,Laptops,"Lenovo Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,35899,INR,20
Boat Headphone Series 853,Boat,Electronics,Headphones,"Boat Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,12976,INR,25
Fire-Boltt Smartwatche Series 681,Fire-Boltt,Electronics,Smartwatches,"Fire-Boltt Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,22975,INR,10
Samsung Tablet Series 669,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,35334,INR,25
Realme Smartphone Series 661,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,43008,INR,15
HP Laptop Series 668,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,106052,INR,25
Skullcandy Headphone Series 116,Skullcandy,Electronics,Headphones,"Skullcandy Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,2820,INR,10
Amazfit Smartwatche Series 628,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,24343,INR,25
