name,brand,category,subcategory,full_description,rating,base_price,currency,discount_percentage
Samsung Tablet Series 933,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,57259,INR,20
Xiaomi Smartphone Series 463,Xiaomi,Electronics,Smartphones,"Xiaomi Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,23787,INR,25
Dell Laptop Series 559,Dell,Electronics,Laptops,"Dell Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,72609,INR,5
Boat Headphone Series 734,Boat,Electronics,Headphones,"Boat Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,16035,INR,10
Noise Smartwatche Series 423,Noise,Electronics,Smartwatches,"Noise Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,45435,INR,5
Samsung Tablet Series 652,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,69639,INR,5
Apple Smartphone Series 235,Apple,Electronics,Smartphones,"Apple Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,64837,INR,5
Dell Laptop Series 982,Dell,Electronics,Laptops,"Dell Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,50640,INR,25
Skullcandy Headphone Series 788,Skullcandy,Electronics,Headphones,"Skullcandy Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,14962,INR,15
Amazfit Smartwatche Series 485,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,47308,INR,25
Lenovo Tablet Series 397,Lenovo,Electronics,Tablets,"Lenovo Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,36708,INR,10
OnePlus Smartphone Series 289,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,51296,INR,25
Lenovo Laptop Series 726,Lenovo,Electronics,Laptops,"Lenovo Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,71994,INR,15
Skullcandy Headphone Series 430,Skullcandy,Electronics,Headphones,"Skullcandy Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,4918,INR,25
Noise Smartwatche Series 797,Noise,Electronics,Smartwatches,"Noise Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,29459,INR,10
Lenovo Tablet Series 193,Lenovo,Electronics,Tablets,"Lenovo Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,44674,INR,5
Samsung Smartphone Series 214,Samsung,Electronics,Smartphones,"Samsung Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,43774,INR,10
Acer Laptop Series 552,Acer,Electronics,Laptops,"Acer Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,108323,INR,5
Boat Headphone Series 544,Boat,Electronics,Headphones,"Boat Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,17244,INR,20
Noise Smartwatche Series 356,Noise,Electronics,Smartwatches,"Noise Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,22679,INR,5
Samsung Tablet Series 823,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,15782,INR,10
Samsung Smartphone Series 995,Samsung,Electronics,Smartphones,"Samsung Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,24781,INR,15
Lenovo Laptop Series 609,Lenovo,Electronics,Laptops,"Lenovo Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,50898,INR,25
JBL Headphone Series 417,JBL,Electronics,Headphones,"JBL Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,20816,INR,15
Samsung Smartwatche Series 210,Samsung,Electronics,Smartwatches,"Samsung Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,27364,INR,25
Apple Tablet Series 946,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,68943,INR,20
Xiaomi Smartphone Series 563,Xiaomi,Electronics,Smartphones,"Xiaomi Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,77444,INR,25
HP Laptop Series 435,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,75252,INR,20
Sennheiser Headphone Series 724,Sennheiser,Electronics,Headphones,"Sennheiser Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,8652,INR,10
Amazfit Smartwatche Series 439,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,28606,INR,15
Samsung Tablet Series 691,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,65811,INR,20
OnePlus Smartphone Series 429,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,75136,INR,20
Acer Laptop Series 972,Acer,Electronics,Laptops,"Acer Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,113966,INR,25
Sony Headphone Series 730,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,12769,INR,20
Noise Smartwatche Series 174,Noise,Electronics,Smartwatches,"Noise Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,13506,INR,10
Samsung Tablet Series 274,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,18018,INR,15
Realme Smartphone Series 487,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,40314,INR,20
ASUS Laptop Series 329,ASUS,Electronics,Laptops,"ASUS Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,102943,INR,10
Sennheiser Headphone Series 739,Sennheiser,Electronics,Headphones,"Sennheiser Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,23868,INR,5
Samsung Smartwatche Series 799,Samsung,Electronics,Smartwatches,"Samsung Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,39897,INR,15
Xiaomi Tablet Series 671,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,30058,INR,5
Xiaomi Smartphone Series 563,Xiaomi,Electronics,Smartphones,"Xiaomi Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,59139,INR,5
Lenovo Laptop Series 852,Lenovo,Electronics,Laptops,"Lenovo Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,118307,INR,10
Sennheiser Headphone Series 250,Sennheiser,Electronics,Headphones,"Sennheiser Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,6935,INR,15
Apple Smartwatche Series 955,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,47353,INR,20
Realme Tablet Series 196,Realme,Electronics,Tablets,"Realme Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,62788,INR,10
OnePlus Smartphone Series 204,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,61469,INR,10
Lenovo Laptop Series 895,Lenovo,Electronics,Laptops,"Lenovo Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,99847,INR,15
Sony Headphone Series 293,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,8295,INR,15
Amazfit Smartwatche Series 296,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,44014,INR,15
Samsung Tablet Series 920,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,35937,INR,15
Samsung Smartphone Series 245,Samsung,Electronics,Smartphones,"Samsung Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,15414,INR,25
Lenovo Laptop Series 548,Lenovo,Electronics,Laptops,"Lenovo Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,88148,INR,20
Sony Headphone Series 521,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,20834,INR,25
Samsung Smartwatche Series 103,Samsung,Electronics,Smartwatches,"Samsung Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,32587,INR,5
Xiaomi Tablet Series 949,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,17315,INR,20
Xiaomi Smartphone Series 628,Xiaomi,Electronics,Smartphones,"Xiaomi Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,10573,INR,15
Dell Laptop Series 474,Dell,Electronics,Laptops,"Dell Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,47718,INR,20
JBL Headphone Series 204,JBL,Electronics,Headphones,"JBL Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,11367,INR,10
Apple Smartwatche Series 223,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,49772,INR,15
Samsung Tablet Series 387,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,15737,INR,10
Xiaomi Smartphone Series 783,Xiaomi,Electronics,Smartphones,"Xiaomi Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,23655,INR,10
ASUS Laptop Series 923,ASUS,Electronics,Laptops,"ASUS Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,94629,INR,10
Skullcandy Headphone Series 646,Skullcandy,Electronics,Headphones,"Skullcandy Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,4008,INR,20
Apple Smartwatche Series 930,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,9332,INR,25
Xiaomi Tablet Series 745,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,12566,INR,5
Samsung Smartphone Series 881,Samsung,Electronics,Smartphones,"Samsung Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,83148,INR,5
Acer Laptop Series 908,Acer,Electronics,Laptops,"Acer Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,51576,INR,20
Skullcandy Headphone Series 671,Skullcandy,Electronics,Headphones,"Skullcandy Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,17898,INR,25
Amazfit Smartwatche Series 681,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,4327,INR,15
Xiaomi Tablet Series 951,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,67056,INR,20
Xiaomi Smartphone Series 356,Xiaomi,Electronics,Smartphones,"Xiaomi Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,52002,INR,10
Lenovo Laptop Series 239,Lenovo,Electronics,Laptops,"Lenovo Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,36208,INR,20
Sennheiser Headphone Series 971,Sennheiser,Electronics,Headphones,"Sennheiser Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,18284,INR,20
Noise Smartwatche Series 142,Noise,Electronics,Smartwatches,"Noise Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,10492,INR,15
Samsung Tablet Series 887,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,53178,INR,5
OnePlus Smartphone Series 168,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,28179,INR,15
HP Laptop Series 622,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,83381,INR,15
Boat Headphone Series 536,Boat,Electronics,Headphones,"Boat Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,6485,INR,10
Amazfit Smartwatche Series 685,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,36046,INR,10
Apple Tablet Series 814,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,39257,INR,15
Apple Smartphone Series 869,Apple,Electronics,Smartphones,"Apple Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,73252,INR,10
Acer Laptop Series 759,Acer,Electronics,Laptops,"Acer Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,41823,INR,15
Sony Headphone Series 946,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,6320,INR,25
Amazfit Smartwatche Series 827,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,34587,INR,25
Xiaomi Tablet Series 931,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,37098,INR,15
Xiaomi Smartphone Series 418,Xiaomi,Electronics,Smartphones,"Xiaomi Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,81909,INR,10
ASUS Laptop Series 529,ASUS,Electronics,Laptops,"ASUS Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,59415,INR,10
JBL Headphone Series 619,JBL,Electronics,Headphones,"JBL Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,3188,INR,15
Amazfit Smartwatche Series 619,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,18298,INR,15
Samsung Tablet Series 448,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,33346,INR,15
OnePlus Smartphone Series 393,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,82100,INR,5
HP Laptop Series 184,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,72580,INR,5
Skullcandy Headphone Series 316,Skullcandy,Electronics,Headphones,"Skullcandy Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,22398,INR,25
Noise Smartwatche Series 554,Noise,Electronics,Smartwatches,"Noise Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,49842,INR,5
Apple Tablet Series 992,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,38662,INR,5
OnePlus Smartphone Series 188,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,33183,INR,25
Acer Laptop Series 589,Acer,Electronics,Laptops,"Acer Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,97743,INR,10
Skullcandy Headphone Series 563,Skullcandy,Electronics,Headphones,"Skullcandy Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,17546,INR,25
Fire-Boltt Smartwatche Series 111,Fire-Boltt,Electronics,Smartwatches,"Fire-Boltt Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,43129,INR,10
Apple Tablet Series 503,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,61401,INR,5
Realme Smartphone Series 417,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,29870,INR,15
HP Laptop Series 329,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,103204,INR,25
Boat Headphone Series 367,Boat,Electronics,Headphones,"Boat Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,6199,INR,5
Amazfit Smartwatche Series 525,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,33718,INR,15
Apple Tablet Series 232,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,48497,INR,10
Realme Smartphone Series 300,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,36609,INR,10
HP Laptop Series 560,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,114969,INR,20
Skullcandy Headphone Series 556,Skullcandy,Electronics,Headphones,"Skullcandy Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,16940,INR,25
Apple Smartwatche Series 545,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,23815,INR,5
Apple Tablet Series 202,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,25343,INR,25
Realme Smartphone Series 937,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,26111,INR,20
Dell Laptop Series 241,Dell,Electronics,Laptops,"Dell Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,35267,INR,25
Sony Headphone Series 991,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.8,14817,INR,20
Apple Smartwatche Series 916,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,46651,INR,5
Xiaomi Tablet Series 480,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,17648,INR,10
Xiaomi Smartphone Series 857,Xiaomi,Electronics,Smartphones,"Xiaomi Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,17794,INR,25
Lenovo Laptop Series 884,Lenovo,Electronics,Laptops,"Lenovo Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,35213,INR,15
JBL Headphone Series 524,JBL,Electronics,Headphones,"JBL Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,22429,INR,15
Apple Smartwatche Series 155,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,6284,INR,15
Xiaomi Tablet Series 137,Xiaomi,Electronics,Tablets,"Xiaomi Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,16027,INR,5
Xiaomi Smartphone Series 578,Xiaomi,Electronics,Smartphones,"Xiaomi Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,86918,INR,5
Lenovo Laptop Series 546,Lenovo,Electronics,Laptops,"Lenovo Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,112969,INR,25
Sennheiser Headphone Series 364,Sennheiser,Electronics,Headphones,"Sennheiser Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,21369,INR,20
Apple Smartwatche Series 341,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,39397,INR,10
Realme Tablet Series 368,Realme,Electronics,Tablets,"Realme Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,51697,INR,10
